timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2025-06-24T00:00:00.000Z,2025-06-24T23:59:59.999Z,2025-06-24T21:00:00.000Z,2025-06-24T02:34:00.000Z,2781,0.1592364822,0.2219951162,0.1572148432,0.2017603195,13079214.49,112996829.14,2025-06-24T23:59:59.999Z
2025-06-23T00:00:00.000Z,2025-06-23T23:59:59.999Z,2025-06-23T23:52:00.000Z,2025-06-23T17:17:00.000Z,2781,0.1469562364,0.1594848869,0.1458912,0.1592364822,1113185.8,89176154.59,2025-06-23T23:59:59.999Z
2025-06-22T00:00:00.000Z,2025-06-22T23:59:59.999Z,2025-06-22T00:58:00.000Z,2025-06-22T20:30:00.000Z,2781,0.1572476568,0.159123363,0.1390944775,0.1469562479,597257.8,82290179.64,2025-06-22T23:59:59.999Z
2025-06-21T00:00:00.000Z,2025-06-21T23:59:59.999Z,2025-06-21T10:40:00.000Z,2025-06-21T23:38:00.000Z,2781,0.1628622937,0.165504454,0.1551314597,0.1572476568,345399.71,88043975.23,2025-06-21T23:59:59.999Z
2025-06-20T00:00:00.000Z,2025-06-20T23:59:59.999Z,2025-06-20T08:45:00.000Z,2025-06-20T17:59:00.000Z,2781,0.1673614051,0.1717241022,0.1614996967,0.1628622937,392655.82,91179872.23,2025-06-20T23:59:59.999Z
2025-06-19T00:00:00.000Z,2025-06-19T23:59:59.999Z,2025-06-19T09:29:00.000Z,2025-06-19T23:59:00.000Z,2781,0.1718015633,0.1836076864,0.1673201048,0.1673616118,763192.76,93691874.89,2025-06-19T23:59:59.999Z
2025-06-18T00:00:00.000Z,2025-06-18T23:59:59.999Z,2025-06-18T09:06:00.000Z,2025-06-18T13:35:00.000Z,2781,0.1705855811,0.1771928796,0.1648903444,0.1718015633,910796.96,96173706.99,2025-06-18T23:59:59.999Z
2025-06-17T00:00:00.000Z,2025-06-17T23:59:59.999Z,2025-06-17T01:11:00.000Z,2025-06-17T23:59:00.000Z,2781,0.1846452723,0.1849268287,0.1705852192,0.1705855811,759994.2,95479786.2,2025-06-17T23:59:59.999Z
2025-06-16T00:00:00.000Z,2025-06-16T23:59:59.999Z,2025-06-16T00:01:00.000Z,2025-06-16T10:35:00.000Z,2781,0.195178643,0.1952715029,0.1842175734,0.1846452723,1007936.91,103341735.69,2025-06-16T23:59:59.999Z
2025-06-15T00:00:00.000Z,2025-06-15T23:59:59.999Z,2025-06-15T00:13:00.000Z,2025-06-15T00:00:00.000Z,2781,0.1802258837,0.2127223763,0.1784405521,0.195178643,4924779.89,109231997.47,2025-06-15T23:59:59.999Z
2025-06-14T00:00:00.000Z,2025-06-14T23:59:59.999Z,2025-06-14T23:55:00.000Z,2025-06-14T01:20:00.000Z,2781,0.1675043916,0.185548762,0.1671982772,0.1804350978,735065.9,100857594.87,2025-06-14T23:59:59.999Z
2025-06-13T00:00:00.000Z,2025-06-13T23:59:59.999Z,2025-06-13T00:00:00.000Z,2025-06-13T14:32:00.000Z,2781,0.1818643848,0.1818643848,0.1665402448,0.1675043916,1065527.95,91706541.32,2025-06-13T23:59:59.999Z
2025-06-12T00:00:00.000Z,2025-06-12T23:59:59.999Z,2025-06-12T20:21:00.000Z,2025-06-12T11:42:00.000Z,2781,0.1853872415,0.1909153607,0.1796302062,0.1818643848,822426.21,99562808.84,2025-06-12T23:59:59.999Z
2025-06-11T00:00:00.000Z,2025-06-11T23:59:59.999Z,2025-06-11T15:59:00.000Z,2025-06-11T22:31:00.000Z,2781,0.190429503,0.1952179785,0.1821422277,0.1853872415,685470.52,101465043.06,2025-06-11T23:59:59.999Z
2025-06-10T00:00:00.000Z,2025-06-10T23:59:59.999Z,2025-06-10T01:46:00.000Z,2025-06-10T09:56:00.000Z,2781,0.1873296091,0.1925862895,0.182623643,0.190429503,745640.3,104225927.74,2025-06-10T23:59:59.999Z
