iter	Passed	Remaining
485	2747	2905
486	2751	2898
487	2759	2895
488	2763	2887
489	2766	2879
490	2769	2871
491	2778	2868
492	2782	2861
493	2787	2854
494	2792	2848
495	2795	2840
496	2798	2832
497	2801	2824
498	2808	2819
499	2810	2810
500	2814	2802
501	2817	2794
502	2822	2789
503	2825	2781
504	2828	2772
505	2831	2764
506	2837	2759
507	2841	2751
508	2844	2743
509	2847	2735
510	2850	2727
511	2855	2721
512	2858	2713
513	2862	2706
514	2866	2699
515	2871	2693
516	2876	2686
517	2879	2679
518	2887	2675
519	2890	2668
520	2895	2662
521	2902	2657
522	2906	2651
523	2910	2644
524	2916	2638
525	2920	2631
526	2923	2623
527	2926	2616
528	2931	2609
529	2936	2604
530	2941	2598
531	2944	2590
532	2951	2586
533	2955	2579
534	2958	2571
535	2961	2564
536	2968	2559
537	2971	2551
538	2974	2543
539	2977	2536
540	2983	2530
541	2987	2524
542	2990	2517
543	2994	2509
544	3003	2507
545	3007	2500
546	3010	2493
547	3018	2489
548	3021	2482
549	3025	2475
550	3031	2470
551	3034	2463
552	3037	2455
553	3040	2448
554	3046	2442
555	3050	2435
556	3053	2428
557	3056	2421
558	3061	2415
559	3065	2408
560	3068	2400
561	3071	2393
562	3074	2386
563	3081	2382
564	3085	2375
565	3088	2368
566	3094	2363
567	3098	2356
568	3102	2350
569	3105	2342
570	3112	2338
571	3115	2331
572	3119	2324
573	3122	2317
574	3129	2312
575	3132	2306
576	3136	2299
577	3139	2292
578	3148	2289
579	3152	2282
580	3155	2275
581	3163	2271
582	3166	2264
583	3169	2257
584	3176	2253
585	3179	2246
586	3182	2239
587	3185	2232
588	3192	2227
589	3197	2222
590	3201	2215
591	3209	2211
592	3213	2205
593	3216	2198
594	3219	2191
595	3226	2186
596	3229	2179
597	3232	2173
598	3236	2166
599	3242	2161
600	3246	2155
601	3249	2148
602	3255	2143
603	3258	2136
604	3262	2129
605	3265	2122
606	3272	2118
607	3275	2112
608	3279	2105
609	3282	2098
610	3288	2093
611	3292	2087
612	3296	2080
613	3299	2074
614	3306	2069
615	3309	2063
616	3313	2056
617	3316	2049
618	3322	2044
619	3325	2038
620	3328	2031
621	3331	2024
622	3338	2020
623	3341	2013
624	3346	2007
625	3349	2000
626	3354	1995
627	3358	1989
628	3361	1982
629	3364	1976
630	3370	1971
631	3373	1964
632	3376	1957
633	3379	1950
634	3387	1947
635	3390	1940
636	3393	1934
637	3401	1929
638	3405	1923
639	3408	1917
640	3411	1910
641	3418	1906
642	3421	1899
643	3424	1893
644	3427	1886
645	3435	1882
646	3438	1876
647	3441	1869
648	3448	1865
649	3453	1859
650	3456	1853
651	3459	1846
652	3465	1841
653	3468	1835
654	3471	1828
655	3475	1822
656	3482	1818
657	3485	1811
658	3489	1805
659	3497	1801
660	3500	1795
661	3503	1788
662	3507	1782
663	3513	1777
664	3516	1771
665	3519	1764
666	3522	1758
667	3528	1753
668	3531	1747
669	3535	1741
670	3540	1735
671	3546	1730
672	3549	1724
673	3553	1718
674	3556	1712
675	3561	1707
676	3565	1700
677	3568	1694
678	3571	1688
679	3577	1683
680	3581	1677
681	3585	1671
682	3591	1666
683	3597	1661
684	3602	1656
685	3610	1652
686	3615	1647
687	3621	1642
688	3631	1638
689	3635	1633
690	3642	1628
691	3646	1623
692	3651	1617
693	3657	1612
694	3661	1606
695	3667	1601
696	3676	1598
697	3682	1593
698	3690	1589
699	3694	1583
700	3698	1577
701	3704	1572
702	3711	1567
703	3714	1561
704	3717	1555
705	3723	1550
706	3726	1544
707	3729	1538
708	3735	1532
709	3742	1528
710	3745	1522
711	3748	1516
712	3754	1511
713	3758	1505
714	3761	1499
715	3765	1493
716	3771	1488
717	3774	1482
718	3779	1477
719	3783	1471
720	3789	1466
721	3792	1460
722	3796	1454
723	3801	1449
724	3806	1443
725	3809	1437
726	3814	1432
727	3820	1427
728	3824	1421
729	3827	1415
730	3830	1409
731	3836	1404
732	3841	1399
733	3844	1393
734	3852	1388
735	3856	1383
736	3860	1377
737	3864	1371
738	3871	1367
739	3875	1361
740	3878	1355
741	3884	1350
742	3888	1345
743	3892	1339
744	3899	1334
745	3908	1330
746	3918	1327
747	3923	1321
748	3932	1317
749	3937	1312
750	3942	1307
751	3948	1302
752	3953	1296
753	3957	1291
754	3962	1285
755	3967	1280
756	3971	1274
757	3981	1271
758	3987	1266
759	4000	1263
760	4004	1257
761	4008	1252
762	4016	1247
763	4021	1242
764	4024	1236
765	4030	1231
766	4034	1225
767	4037	1219
768	4040	1213
769	4045	1208
770	4048	1202
771	4053	1197
772	4057	1191
773	4062	1186
774	4065	1180
775	4068	1174
776	4072	1168
777	4077	1163
778	4081	1157
779	4084	1152
780	4087	1146
781	4092	1140
782	4096	1135
783	4099	1129
784	4103	1123
785	4106	1117
786	4116	1114
787	4119	1108
788	4122	1102
789	4130	1097
790	4133	1092
791	4136	1086
792	4141	1081
793	4161	1079
794	4164	1073
795	4167	1068
796	4171	1062
797	4176	1057
798	4179	1051
799	4183	1045
800	4186	1040
801	4192	1034
802	4195	1029
803	4198	1023
804	4202	1017
805	4208	1012
806	4212	1007
807	4215	1001
808	4219	996
809	4225	991
810	4229	985
811	4232	979
812	4235	974
813	4241	969
814	4244	963
815	4247	957
816	4251	952
817	4257	947
818	4261	941
819	4264	936
820	4267	930
821	4274	925
822	4277	919
823	4280	914
824	4283	908
825	4289	903
826	4292	897
827	4295	892
828	4299	886
829	4306	881
830	4309	876
831	4312	870
832	4315	865
833	4322	860
834	4326	855
835	4329	849
836	4335	844
837	4339	838
838	4342	833
839	4345	827
840	4350	822
841	4354	817
842	4357	811
843	4360	806
844	4364	800
845	4369	795
846	4373	789
847	4376	784
848	4380	779
849	4385	773
850	4388	768
851	4391	762
852	4395	757
853	4400	752
854	4403	746
855	4406	741
856	4410	735
857	4415	730
858	4419	725
859	4422	719
860	4428	714
861	4433	709
862	4436	704
863	4439	698
864	4443	693
865	4448	688
866	4451	682
867	4455	677
868	4458	672
869	4463	666
870	4466	661
871	4470	656
872	4473	650
873	4476	645
874	4482	640
875	4487	635
876	4490	629
877	4493	624
878	4497	619
879	4500	613
880	4503	608
881	4506	602
882	4515	598
883	4518	592
884	4522	587
885	4527	582
886	4531	577
887	4534	571
888	4537	566
889	4541	561
890	4545	556
891	4548	550
892	4551	545
893	4554	540
894	4559	534
895	4562	529
896	4565	524
897	4569	519
898	4574	513
899	4577	508
900	4581	503
901	4584	498
902	4589	493
903	4593	487
904	4596	482
905	4599	477
906	4603	472
907	4609	466
908	4612	461
909	4615	456
910	4618	451
911	4624	446
912	4627	441
913	4631	435
914	4635	430
915	4640	425
916	4644	420
917	4647	415
918	4651	409
919	4656	404
920	4660	399
921	4663	394
922	4666	389
923	4672	384
924	4675	379
925	4679	373
926	4682	368
927	4687	363
928	4690	358
929	4695	353
930	4698	348
931	4704	343
932	4707	338
933	4710	332
934	4713	327
935	4718	322
936	4723	317
937	4726	312
938	4729	307
939	4734	302
940	4738	297
941	4741	291
942	4744	286
943	4747	281
944	4753	276
945	4756	271
946	4759	266
947	4762	261
948	4768	256
949	4771	251
950	4774	246
951	4777	240
952	4783	235
953	4786	230
954	4789	225
955	4792	220
956	4796	215
957	4801	210
958	4805	205
959	4808	200
960	4811	195
961	4817	190
962	4821	185
963	4824	180
964	4830	175
965	4834	170
966	4837	165
967	4841	160
968	4844	154
969	4849	149
970	4852	144
971	4855	139
972	4858	134
973	4863	129
974	4866	124
975	4869	119
976	4872	114
977	4875	109
978	4881	104
979	4884	99
980	4888	94
981	4891	89
982	4895	84
983	4899	79
984	4902	74
985	4907	69
986	4911	64
987	4915	59
988	4918	54
989	4921	49
990	4924	44
991	4929	39
992	4933	34
993	4936	29
994	4939	24
995	4944	19
996	4947	14
997	4951	9
998	4954	4
999	4957	0
