iter	RMSE
0	0.288402774
1	0.2773234485
2	0.2669049586
3	0.2569269396
4	0.2472398017
5	0.2382085808
6	0.2290889607
7	0.2203281468
8	0.2120766106
9	0.2040389785
10	0.196175913
11	0.1887415504
12	0.1818103529
13	0.1749030025
14	0.1684343854
15	0.1620252389
16	0.155999392
17	0.1501532179
18	0.1445549907
19	0.1390879894
20	0.1338760493
21	0.1288406327
22	0.1239335923
23	0.119351891
24	0.1148879784
25	0.1106701693
26	0.1067212025
27	0.1028113817
28	0.09918928123
29	0.09566839749
30	0.09219844725
31	0.0889411422
32	0.08573939777
33	0.08284653705
34	0.0799127478
35	0.07716270214
36	0.07448109363
37	0.07197979852
38	0.06967644746
39	0.06726650143
40	0.0650203409
41	0.06303337847
42	0.06094488876
43	0.05894875641
44	0.05708165467
45	0.05537451634
46	0.05359837508
47	0.05188168945
48	0.05030036586
49	0.04872675084
50	0.04717652854
51	0.04591161199
52	0.04452094733
53	0.04320143113
54	0.04197788895
55	0.04082341605
56	0.03965582917
57	0.03859109335
58	0.03752137433
59	0.03645859012
60	0.03552287705
61	0.03469103892
62	0.03387728202
63	0.03301346048
64	0.03228621975
65	0.03153468384
66	0.0308088055
67	0.03007585299
68	0.0293956209
69	0.02878821231
70	0.02813982466
71	0.0275433623
72	0.02695719966
73	0.02644983368
74	0.02587158107
75	0.02537465278
76	0.02486567418
77	0.02443145405
78	0.02401106151
79	0.02357758866
80	0.02323530029
81	0.02283504082
82	0.02248947447
83	0.02211994256
84	0.02173446132
85	0.02138998329
86	0.02106965097
87	0.02077088129
88	0.02051436561
89	0.02021310284
90	0.01993693533
91	0.01964260194
92	0.01940398515
93	0.01916753328
94	0.01897339844
95	0.01874288
96	0.01852223779
97	0.01828310436
98	0.01808846357
99	0.01792548485
100	0.0177644542
101	0.01755590154
102	0.0173934993
103	0.01723907115
104	0.01707377185
105	0.01689356316
106	0.0167301698
107	0.01658818396
108	0.01644779357
109	0.01630492012
110	0.01617498709
111	0.01600938922
112	0.01588103934
113	0.01577230294
114	0.01564529792
115	0.01552678302
116	0.01542227503
117	0.01529380072
118	0.01515428678
119	0.01504426828
120	0.01493656153
121	0.01482579039
122	0.01475470396
123	0.01465303298
124	0.01457729961
125	0.01447856749
126	0.01438336411
127	0.01429941088
128	0.01420414358
129	0.01412915996
130	0.0140554524
131	0.01399509637
132	0.0139243357
133	0.01382795851
134	0.01375204103
135	0.01368335003
136	0.01359308202
137	0.01352430312
138	0.01345664058
139	0.01338099555
140	0.01331059275
141	0.01324232139
142	0.01318302097
143	0.01310671641
144	0.01306139485
145	0.01297706281
146	0.01292001208
147	0.01283830569
148	0.0127861596
149	0.01273475244
150	0.01268406816
151	0.01263389956
152	0.01257221686
153	0.01251268529
154	0.01243552127
155	0.01238199823
156	0.01231231017
157	0.01225951625
158	0.01220991062
159	0.01215872376
160	0.01210290018
161	0.01205924467
162	0.0120328278
163	0.01197433509
164	0.01193613661
165	0.01189200716
166	0.01185861994
167	0.01182222182
168	0.0117832112
169	0.01171918057
170	0.01166419834
171	0.0116301221
172	0.01158887167
173	0.01155293869
174	0.01148770913
175	0.01146405274
176	0.01141050279
177	0.01135351428
178	0.01130603316
179	0.01127111961
180	0.01122915134
181	0.01118949386
182	0.01114962066
183	0.01109675457
184	0.01106319977
185	0.0110222529
186	0.01097081644
187	0.01093609672
188	0.01089590332
189	0.01085225839
190	0.01081327845
191	0.01074983112
192	0.01072502723
193	0.01069488892
194	0.01066552946
195	0.01062536652
196	0.01059304543
197	0.01053781997
198	0.01048409995
199	0.01046009177
200	0.01041144154
201	0.01037687539
202	0.01032977085
203	0.01027802684
204	0.0102270718
205	0.01017867579
206	0.01013609235
207	0.01010960259
208	0.01007860493
209	0.01004081654
210	0.01000438763
211	0.009965023023
212	0.00993167078
213	0.009905518455
214	0.009872267908
215	0.009832550314
216	0.009780397723
217	0.00975029794
218	0.009703749208
219	0.009671588145
220	0.009658559337
221	0.009619180673
222	0.009586307977
223	0.009536695663
224	0.009504081161
225	0.009469219368
226	0.009441877063
227	0.0094124103
228	0.009384936668
229	0.009359870469
230	0.009331761166
231	0.009305038787
232	0.009267667126
233	0.009248678057
234	0.009207235763
235	0.009188383656
236	0.009152641886
237	0.009119376883
